source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,sources,references,curation_effort,n_references,n_resources
P0DP30,Q9QX01,Calm2,Trpc1,1,0,1,1,0,1,TRIP,TRIP:11290752;TRIP:11983166;TRIP:12601176,3,3,1
P0DP29,Q9QX01,Calm1,Trpc1,1,0,1,1,0,1,TRIP,TRIP:11290752;TRIP:11983166;TRIP:12601176,3,3,1
P0DP31,Q9QX01,Calm3,Trpc1,1,0,1,1,0,1,TRIP,TRIP:11290752;TRIP:11983166;TRIP:12601176,3,3,1
P61169,Q9QX01,Drd2,Trpc1,1,1,0,1,1,0,TRIP,TRIP:18261457,1,1,1
B0BN88,Q9QX01,Mdfi,Trpc1,1,0,1,1,0,1,HPRD;TRIP,HPRD:14530267;TRIP:14530267;TRIP:23770672,3,2,2
P29995,Q9QX01,Itpr2,Trpc1,1,1,0,1,1,0,HPRD;TRIP,HPRD:10970773;HPRD:11336651;TRIP:10970773;TRIP:11336651;TRIP:12196544;TRIP:15121806;TRIP:16870612;TRIP:16905188;TRIP:17681754;TRIP:18068335;TRIP:18191041;TRIP:18249094;TRIP:23228564,13,11,2
P30009,Q9QX01,Marcks,Trpc1,1,0,1,1,0,1,TRIP,TRIP:24022404,1,1,1
P23385,Q9QX01,Grm1,Trpc1,1,1,0,1,1,0,TRIP,TRIP:14614461,1,1,1
P84903,Q9QX01,Stim1,Trpc1,1,1,0,1,1,0,IntAct;TRIP,IntAct:19897728;IntAct:21408196;TRIP:16870612;TRIP:16906149;TRIP:17224452;TRIP:17892531;TRIP:18249094;TRIP:18326500;TRIP:18430726;TRIP:18644792;TRIP:18802022;TRIP:19332490;TRIP:19897728;TRIP:20194530;TRIP:20488539;TRIP:22446186;TRIP:22592407;TRIP:23034388;TRIP:23395841;TRIP:23686296;TRIP:24464579;TRIP:25013939,22,21,2
Q9JMI9,Q9QX01,Trpc3,Trpc1,1,1,0,1,1,0,BioGRID;HPRD;TRIP,BioGRID:10199829;BioGRID:9215637;HPRD:12032305;HPRD:9215637;TRIP:10882720;TRIP:12857742;TRIP:15834157;TRIP:15972814;TRIP:17486119;TRIP:18215135;TRIP:19260825;TRIP:19502552;TRIP:21996795;TRIP:24613381;TRIP:9215637,15,13,3
Q9QX01,Q9JMI9,Trpc1,Trpc3,1,1,0,1,1,0,BioGRID;HPRD;TRIP,BioGRID:10199829;BioGRID:9215637;HPRD:12032305;HPRD:9215637;TRIP:10882720;TRIP:12857742;TRIP:15834157;TRIP:15972814;TRIP:17486119;TRIP:18215135;TRIP:19260825;TRIP:19502552;TRIP:21996795;TRIP:24613381;TRIP:9215637,15,13,3
O35119,Q9QX01,Trpc4,Trpc1,1,1,0,1,1,0,HPRD;Lit-BM-17;TRIP,HPRD:12032305;Lit-BM-17:12032305;Lit-BM-17:12857742;TRIP:11301024;TRIP:12377790;TRIP:12857742;TRIP:16270640;TRIP:16418302;TRIP:16818374;TRIP:17416589;TRIP:17892531;TRIP:19307462;TRIP:19812031;TRIP:22144671;TRIP:22534489,15,13,3
Q9QX01,O35119,Trpc1,Trpc4,1,1,0,1,1,0,HPRD;Lit-BM-17;TRIP,HPRD:12032305;Lit-BM-17:12032305;Lit-BM-17:12857742;TRIP:11301024;TRIP:12377790;TRIP:12857742;TRIP:16270640;TRIP:16418302;TRIP:16818374;TRIP:17416589;TRIP:17892531;TRIP:19307462;TRIP:19812031;TRIP:22144671;TRIP:22534489,15,13,3
Q8VD38,Q9QX01,Trpc5,Trpc1,1,1,0,1,1,0,HPRD;Lit-BM-17;TRIP,HPRD:11301024;HPRD:12032305;HPRD:12857742;Lit-BM-17:12032305;Lit-BM-17:12857742;TRIP:11301024;TRIP:12377790;TRIP:12857742;TRIP:16270640;TRIP:18356201;TRIP:21968068,11,7,3
Q9QX01,Q8VD38,Trpc1,Trpc5,1,1,0,1,1,0,HPRD;Lit-BM-17;TRIP,HPRD:11301024;HPRD:12032305;HPRD:12857742;Lit-BM-17:12032305;Lit-BM-17:12857742;TRIP:11301024;TRIP:12377790;TRIP:12857742;TRIP:16270640;TRIP:18356201;TRIP:21968068,11,7,3
D4A5F1,Q9QX01,Pkd2,Trpc1,1,1,0,1,1,0,HPRD;IntAct;Lit-BM-17;TRIP,HPRD:10097141;IntAct:10097141;IntAct:25114176;Lit-BM-17:10097141;TRIP:10097141;TRIP:14530267;TRIP:18323855;TRIP:19193631;TRIP:19850920;TRIP:20682256;TRIP:25114176,11,7,4
Q9QX01,D4A5F1,Trpc1,Pkd2,1,1,0,1,1,0,HPRD;IntAct;Lit-BM-17;TRIP,HPRD:10097141;IntAct:10097141;IntAct:25114176;Lit-BM-17:10097141;TRIP:10097141;TRIP:14530267;TRIP:18323855;TRIP:19193631;TRIP:19850920;TRIP:20682256;TRIP:25114176,11,7,4
Q9ERZ8,Q9QX01,Trpv4,Trpc1,1,1,0,1,1,0,TRIP,TRIP:20093626;TRIP:20705915;TRIP:21871867;TRIP:25114176;TRIP:25139746,5,5,1
Q9QX01,Q9ERZ8,Trpc1,Trpv4,1,1,0,1,1,0,TRIP,TRIP:20093626;TRIP:20705915;TRIP:21871867;TRIP:25114176;TRIP:25139746,5,5,1
Q9QX01,Q9R186,Trpc1,Trpv6,1,0,1,1,0,1,TRIP,TRIP:22932896;TRIP:25172921,3,2,1
P0DP30,Q9JMI9,Calm2,Trpc3,1,0,1,1,0,1,TRIP,TRIP:11248050;TRIP:11290752;TRIP:12601176;TRIP:18215135,4,4,1
P0DP29,Q9JMI9,Calm1,Trpc3,1,0,1,1,0,1,TRIP,TRIP:11248050;TRIP:11290752;TRIP:12601176;TRIP:18215135,4,4,1
P0DP31,Q9JMI9,Calm3,Trpc3,1,0,1,1,0,1,TRIP,TRIP:11248050;TRIP:11290752;TRIP:12601176;TRIP:18215135,4,4,1
P48442,Q9JMI9,Casr,Trpc3,1,1,0,1,1,0,TRIP,TRIP:22778254,1,1,1
Q07303,Q9JMI9,Epor,Trpc3,1,1,0,1,1,0,TRIP,TRIP:18276585;TRIP:19074769;TRIP:21757714,3,3,1
Q9Z214,Q9JMI9,Homer1,Trpc3,1,1,0,1,1,0,TRIP,TRIP:16887806,1,1,1
P29994,Q9JMI9,Itpr1,Trpc3,1,1,0,1,1,0,HPRD;TRIP,HPRD:11524429;HPRD:12606542;HPRD:15104175;HPRD:15623527;HPRD:9853757;TRIP:10518223;TRIP:18205297;TRIP:20022948;TRIP:20378853;TRIP:23045459,10,10,2
Q63269,Q9JMI9,Itpr3,Trpc3,1,1,0,1,1,0,HPRD;TRIP,HPRD:11524429;HPRD:15623527;TRIP:10611319;TRIP:11248050;TRIP:11290752;TRIP:16887806,6,6,2
Q5M848,Q9JMI9,Orai1,Trpc3,1,1,0,1,1,0,DIP;HPRD;TRIP,DIP:17360584;HPRD:17360584;TRIP:17360584;TRIP:18287061;TRIP:20022948,5,3,3
Q9WUD9,Q9JMI9,Src,Trpc3,1,1,0,1,1,0,TRIP,TRIP:16407161,1,1,1
Q9ESQ5,Q9JMI9,Trpm4,Trpc3,1,0,1,1,0,1,TRIP,TRIP:18262493,2,1,1
D4A5F1,Q9JMI9,Pkd2,Trpc3,1,1,0,1,1,0,TRIP,TRIP:19812035,1,1,1
Q7TPK6,Q9JMI9,Wnk4,Trpc3,1,0,1,1,0,1,TRIP,TRIP:21670282,1,1,1
Q62844,O35119,Fyn,Trpc4,1,0,0,0,0,0,TRIP;dbPTM,TRIP:16144838;TRIP:18048348;dbPTM:16144838,3,2,2
Q9JJ19,O35119,Slc9a3r1,Trpc4,1,1,0,1,1,0,HPRD;TRIP,HPRD:10980202;TRIP:10980202;TRIP:12154080;TRIP:15540229;TRIP:18048348,5,4,2
O88751,Q8VD38,Cabp1,Trpc5,1,0,1,1,0,1,TRIP,TRIP:15895247,1,1,1
P62168,Q8VD38,Ncs1,Trpc5,1,1,0,1,1,0,TRIP,TRIP:16469785,1,1,1
F7FA26,Q8VD38,Sestd1,Trpc5,1,1,0,1,1,0,TRIP,TRIP:20164195,1,1,1
B5DFL9,Q8VD38,Sestd1,Trpc5,1,1,0,1,1,0,TRIP,TRIP:20164195,1,1,1
D4A5F1,F1LQF7,Pkd2,Trpc7,1,1,0,1,1,0,TRIP,TRIP:19812035,1,1,1
P0DP30,O35433,Calm2,Trpv1,1,1,0,1,1,0,TRIP,TRIP:12808128;TRIP:14699077;TRIP:19864432;TRIP:23109716,4,4,1
P0DP29,O35433,Calm1,Trpv1,1,1,0,1,1,0,TRIP,TRIP:12808128;TRIP:14699077;TRIP:19864432;TRIP:23109716,4,4,1
P0DP31,O35433,Calm3,Trpv1,1,1,0,1,1,0,TRIP,TRIP:12808128;TRIP:14699077;TRIP:19864432;TRIP:23109716,4,4,1
P20272,O35433,Cnr1,Trpv1,1,0,1,1,0,1,TRIP,TRIP:23142606,1,1,1
Q03114,O35433,Cdk5,Trpv1,1,1,0,1,1,0,ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;Sparser_ProtMapper;TRIP,ProtMapper:23668392;ProtMapper:26376215;ProtMapper:26894912;ProtMapper:26902776;ProtMapper:29352128;ProtMapper:29467671;TRIP:17194758;TRIP:22451679;TRIP:23077056,9,9,2
Q924K2,O35433,Faf1,Trpv1,1,0,1,1,0,1,TRIP,TRIP:16510717,1,1,1
P60517,O35433,Gabarap,Trpv1,1,1,0,1,1,0,TRIP,TRIP:20179142,1,1,1
Q9WUD9,O35433,Src,Trpv1,1,1,0,1,1,0,MIMP;NCI-PID_ProtMapper;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;Sparser_ProtMapper;TRIP;Wang,PhosphoSite:16319926;ProtMapper:16319926;ProtMapper:17582331;ProtMapper:24717323;ProtMapper:25970319;ProtMapper:30292787;TRIP:15084474;TRIP:16319926,8,6,5
P35739,O35433,Ntrk1,Trpv1,1,1,0,1,1,0,TRIP,TRIP:16319926,1,1,1
P0DP30,Q9ERZ8,Calm2,Trpv4,1,1,0,1,1,0,TRIP,TRIP:12724311;TRIP:21837266,2,2,1
P0DP29,Q9ERZ8,Calm1,Trpv4,1,1,0,1,1,0,TRIP,TRIP:12724311;TRIP:21837266,2,2,1
P0DP31,Q9ERZ8,Calm3,Trpv4,1,1,0,1,1,0,TRIP,TRIP:12724311;TRIP:21837266,2,2,1
Q62844,Q9ERZ8,Fyn,Trpv4,1,1,0,1,1,0,HPRD;PhosphoPoint;SPIKE_LC;TRIP,HPRD:12538589;SPIKE_LC:16713569;TRIP:12538589,3,2,3
P50545,Q9ERZ8,Hck,Trpv4,1,1,0,1,1,0,HPRD;PhosphoPoint;TRIP,HPRD:12538589;TRIP:12538589,2,1,3
Q63269,Q9ERZ8,Itpr3,Trpv4,1,1,0,1,1,0,TRIP,TRIP:18378772;TRIP:18826956,2,2,1
Q01621,Q9ERZ8,Lck,Trpv4,1,1,0,1,1,0,HPRD;PhosphoPoint;TRIP,HPRD:12538589;TRIP:12538589,2,1,3
Q07014,Q9ERZ8,Lyn,Trpv4,1,1,0,1,1,0,HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite_KEA;TRIP;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,HPRD-phos:12538589;HPRD:12538589;KEA:12538589;TRIP:12538589;TRIP:18234883;iPTMnet:12538589;phosphoELM:12538589,7,2,8
Q5RKH6,Q9ERZ8,Os9,Trpv4,1,1,1,1,1,1,HPRD;SIGNOR;TRIP,HPRD:17932042;SIGNOR:17932042;TRIP:17932042,3,1,3
Q9WUD9,Q9ERZ8,Src,Trpv4,1,1,0,1,1,0,HPRD;KEA;Li2012;NetworKIN_KEA;PhosphoPoint;ProtMapper;Sparser_ProtMapper;TRIP,HPRD:12538589;KEA:17570479;ProtMapper:12538589;TRIP:12538589;TRIP:19033444,5,3,6
D4A5F1,Q9ERZ8,Pkd2,Trpv4,1,1,0,1,1,0,TRIP,TRIP:18695040;TRIP:20682256;TRIP:22518003;TRIP:23977387;TRIP:25114176,5,5,1
Q9ERZ8,D4A5F1,Trpv4,Pkd2,1,1,0,0,0,0,TRIP,TRIP:18695040;TRIP:20682256;TRIP:23977387;TRIP:25114176,4,4,1
Q6P6S3,Q9JIP0,Bspry,Trpv5,1,0,1,1,0,1,TRIP,TRIP:16380433,1,1,1
P07171,Q9JIP0,Calb1,Trpv5,1,1,0,1,1,0,HPRD;SPIKE_LC;TRIP,HPRD:16763551;SPIKE_LC:16763551;TRIP:16763551,3,1,2
P0DP30,Q9JIP0,Calm2,Trpv5,1,0,1,1,0,1,TRIP,TRIP:20686800;TRIP:20926660;TRIP:21576356,3,3,1
P0DP29,Q9JIP0,Calm1,Trpv5,1,0,1,1,0,1,TRIP,TRIP:20686800;TRIP:20926660;TRIP:21576356,3,3,1
P0DP31,Q9JIP0,Calm3,Trpv5,1,0,1,1,0,1,TRIP,TRIP:20686800;TRIP:20926660;TRIP:21576356,3,3,1
Q9Z2Y9,Q9JIP0,Kl,Trpv5,1,1,0,1,1,0,TRIP,TRIP:16239475;TRIP:18495742;TRIP:18606998,3,3,1
P62494,Q9JIP0,Rab11a,Trpv5,1,1,0,1,1,0,TRIP,TRIP:16354700,1,1,1
P05943,Q9JIP0,S100a10,Trpv5,1,1,0,1,1,0,Lit-BM-17;TRIP,Lit-BM-17:12660155;TRIP:12660155,2,1,2
Q9WVJ6,Q9JIP0,Tgm2,Trpv5,1,0,1,1,0,1,TRIP,TRIP:21952826,1,1,1
Q9JIP0,Q9R186,Trpv5,Trpv6,1,1,0,1,1,0,TRIP,TRIP:12574114;TRIP:19295174,2,2,1
Q9R186,Q9JIP0,Trpv6,Trpv5,1,1,0,1,1,0,TRIP,TRIP:12574114;TRIP:19295174,2,2,1
P0DP30,Q9R186,Calm2,Trpv6,1,0,1,1,0,1,TRIP,TRIP:11248124;TRIP:12765696;TRIP:15123711;TRIP:16959851;TRIP:20926660,5,5,1
P0DP29,Q9R186,Calm1,Trpv6,1,0,1,1,0,1,TRIP,TRIP:11248124;TRIP:12765696;TRIP:15123711;TRIP:16959851;TRIP:20926660,5,5,1
P0DP31,Q9R186,Calm3,Trpv6,1,0,1,1,0,1,TRIP,TRIP:11248124;TRIP:12765696;TRIP:15123711;TRIP:16959851;TRIP:20926660,5,5,1
Q9Z2Y9,Q9R186,Kl,Trpv6,1,1,0,1,1,0,TRIP,TRIP:16239475;TRIP:18495742,2,2,1
P20417,Q9R186,Ptpn1,Trpv6,1,0,1,1,0,1,DEPOD;HPRD;IntAct;Lit-BM-17;SIGNOR;SPIKE_LC;TRIP,DEPOD:15894168;DEPOD:17197020;HPRD:15894168;IntAct:15894168;IntAct:17197020;Lit-BM-17:15894168;Lit-BM-17:17197020;SIGNOR:17197020;SPIKE_LC:15894168;TRIP:15894168;TRIP:17197020,11,2,6
P62494,Q9R186,Rab11a,Trpv6,1,1,0,1,1,0,TRIP,TRIP:16354700,1,1,1
Q9JHX0,Q9R186,Rgs2,Trpv6,1,0,1,1,0,1,TRIP,TRIP:16895908,1,1,1
P05943,Q9R186,S100a10,Trpv6,1,1,0,1,1,0,CellTalkDB;HPRD;SPIKE_LC;TRIP,CellTalkDB:18187190;HPRD:12660155;SPIKE_LC:16189514;TRIP:12660155;TRIP:16189514;TRIP:18187190,6,3,3
A1XIQ3,Q2WEA5,Nyx,Trpm1,1,1,0,1,1,0,TRIP,TRIP:21734298,1,1,1
P0DP30,E9PTA2,Calm2,Trpm2,1,1,0,1,1,0,TRIP,TRIP:16461353,1,1,1
P0DP29,E9PTA2,Calm1,Trpm2,1,1,0,1,1,0,TRIP,TRIP:16461353,1,1,1
P0DP31,E9PTA2,Calm3,Trpm2,1,1,0,1,1,0,TRIP,TRIP:16461353,1,1,1
D3ZD71,E9PTA2,Efhc1,Trpm2,1,1,0,1,1,0,TRIP,TRIP:22226147,1,1,1
A0A0G2K1K1,E9PTA2,Ptpn13,Trpm2,1,0,1,1,0,1,TRIP,TRIP:17251321,1,1,1
G3V9S3,E9PTA2,Ptpn13,Trpm2,1,0,1,1,0,1,TRIP,TRIP:17251321,1,1,1
P0DP30,Q9ESQ5,Calm2,Trpm4,1,1,0,1,1,0,TRIP,TRIP:15590641,1,1,1
P0DP29,Q9ESQ5,Calm1,Trpm4,1,1,0,1,1,0,TRIP,TRIP:15590641,1,1,1
P0DP31,Q9ESQ5,Calm3,Trpm4,1,1,0,1,1,0,TRIP,TRIP:15590641,1,1,1
P63245,F1M7G0,Rack1,Trpm6,1,0,1,1,0,1,SIGNOR;TRIP,SIGNOR:18258429;TRIP:18258429,2,1,2
Q5XIH7,F1M7G0,Phb2,Trpm6,1,0,1,1,0,1,TRIP,TRIP:19329436,1,1,1
P28564,Q8R455,Htr1b,Trpm8,1,1,0,1,1,0,TRIP,TRIP:24269608,1,1,1
P33535,Q8R455,Oprm1,Trpm8,1,0,1,1,0,1,TRIP,TRIP:23911290,1,1,1
D3ZRF9,Q499S1,Mcoln1,Mcoln2,1,1,0,1,1,0,TRIP,TRIP:16606612;TRIP:19557826;TRIP:19885840;TRIP:20736310,4,4,1
Q499S1,D3ZRF9,Mcoln2,Mcoln1,1,1,0,1,1,0,TRIP,TRIP:16606612;TRIP:19557826;TRIP:19885840;TRIP:20736310,4,4,1
B1WC34,D4A5F1,Prkcsh,Pkd2,1,0,1,1,0,1,TRIP,TRIP:19801576,1,1,1
F1LQZ3,D4A5F1,Kif3a,Pkd2,1,1,0,1,1,0,TRIP,TRIP:16950792;TRIP:17008358;TRIP:17283055,3,3,1
Q08851,D4A5F1,Stx5,Pkd2,1,0,1,1,0,1,TRIP,TRIP:18836075,1,1,1
P55213,A0JPM9,Casp3,Eif3j,1,0,1,1,0,1,HPRD;SPIKE;SPIKE_LC,HPRD:10672017;SPIKE:10672017;SPIKE_LC:10672017,3,1,2
P55213,Q64632,Casp3,Itgb4,1,1,1,1,0,1,SPIKE;SPIKE_LC;Wang,SPIKE:17178732;SPIKE_LC:17178732,2,1,2
Q9JJ54,P48317,Hnrnpd,Gadd45a,1,0,1,1,0,1,SPIKE;SPIKE_LC,SPIKE:21173571;SPIKE_LC:21173571,2,1,1
Q07303,Q62689,Epor,Jak2,1,1,0,0,0,0,BioGRID;Cui2007;HPRD;KEGG-MEDICUS;SignaLink3;Wang,BioGRID:8343951;HPRD:11779507;HPRD:12441334;HPRD:8343951;SignaLink3:11779507;SignaLink3:18160720;SignaLink3:23331499;SignaLink3:8343951,8,5,6
Q62689,Q07303,Jak2,Epor,1,1,0,1,1,0,BEL-Large-Corpus_ProtMapper;BioGRID;Cellinker;Cui2007;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoNetworks;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;SPIKE_LC;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,BioGRID:8343951;Cellinker:9030561;HPRD-phos:12441334;HPRD:11779507;HPRD:12441334;HPRD:8343951;KEA:10579919;KEA:10660611;KEA:11443118;KEA:12027890;KEA:12441334;KEA:7559499;KEA:9573010;ProtMapper:12441334;ProtMapper:15212693;SIGNOR:12441334;SPIKE:12524467;SPIKE:18672044;SPIKE_LC:12524467;SPIKE_LC:18672044;iPTMnet:10579919;iPTMnet:12441334;phosphoELM:10579919,23,13,15
P70618,P47973,Mapk14,Zfp36,1,1,1,1,1,0,KEA;NetworKIN_KEA;SIGNOR;SPIKE;SPIKE_LC,KEA:17570479;SIGNOR:25815583;SPIKE:20599781;SPIKE_LC:20599781,4,3,3
D3ZQL9,Q03062,Atoh1,Hes5,1,1,0,1,1,0,SPIKE;SPIKE_LC,SPIKE:14757642;SPIKE:15358736;SPIKE_LC:14757642;SPIKE_LC:15358736,4,2,1
Q03062,D3ZQL9,Hes5,Atoh1,1,0,1,1,0,1,SPIKE;SPIKE_LC,SPIKE:14757642;SPIKE:15358736;SPIKE_LC:14757642;SPIKE_LC:15358736,4,2,1
P47973,P16599,Zfp36,Tnf,1,0,1,1,0,1,BioGRID;SPIKE;SPIKE_LC,BioGRID:21784977;SPIKE:20599781;SPIKE_LC:20599781,3,2,2
P15337,P17108,Creb1,Il2,1,1,0,1,1,0,SPIKE;SPIKE_LC,SPIKE:21084670;SPIKE_LC:21084670,2,1,1
P97607,Q07008,Jag2,Notch1,1,1,1,1,1,0,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;Cui2007;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;KEGG-MEDICUS;Kirouac2010;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;SPIKE_LC;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr,Baccin2019:1100613311006130;CellChatDB:22353464;CellTalkDB:22353464;Cellinker:11006133;Cellinker:22353464;HPRD:11006133;ICELLNET:16921404;ICELLNET:21352254;ICELLNET:22503540;LRdb:11006133;NetPath:11006133;SIGNOR:9315665;SPIKE:11006133;SPIKE:16713569;SPIKE_LC:11006133;SPIKE_LC:16713569;SignaLink3:10958687;SignaLink3:11006133;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:11006133,22,12,22
Q07008,P97607,Notch1,Jag2,1,0,1,0,0,0,Baccin2019;CellCall;Cui2007;HPRD;NetPath;Ramilowski2015_Baccin2019;SPIKE;SPIKE_LC,HPRD:11006133;NetPath:11006133;SPIKE:11006133;SPIKE:15358736;SPIKE:16713569;SPIKE_LC:11006133;SPIKE_LC:15358736;SPIKE_LC:16713569,8,3,6
P97677,Q07008,Dll1,Notch1,1,1,0,1,1,0,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;Cui2007;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;KEGG-MEDICUS;Kirouac2010;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;SPIKE_LC;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr,Baccin2019:1006133;Baccin2019:98194281;CellChatDB:22353464;CellTalkDB:22353464;Cellinker:11006133;Cellinker:22353464;Cellinker:9819428;HPRD:11006133;ICELLNET:21685328;LRdb:11;LRdb:9819428;NetPath:11006133;SIGNOR:16140393;SPIKE:11006133;SPIKE:17537801;SPIKE_LC:11006133;SPIKE_LC:17537801;connectomeDB2020:11006133;connectomeDB2020:9819428,19,9,21
Q07008,P97677,Notch1,Dll1,1,1,1,0,0,0,Baccin2019;CellCall;Cui2007;HPRD;NetPath;Ramilowski2015_Baccin2019;SPIKE;SPIKE_LC;SignaLink3;Wang,Baccin2019:11006133;HPRD:11006133;NetPath:11006133;SPIKE:11006133;SPIKE:15358736;SPIKE:17537801;SPIKE_LC:11006133;SPIKE_LC:15358736;SPIKE_LC:17537801;SignaLink3:21985982,10,4,8
G3V970,Q924T4,Six1,Lfng,1,1,0,1,1,0,SPIKE;SPIKE_LC,SPIKE:14695375;SPIKE_LC:14695375,2,1,1
P15337,P29456,Creb1,Il10,1,1,0,1,1,0,SPIKE;SPIKE_LC,SPIKE:21084670;SPIKE_LC:21084670,2,1,1
P15337,P20607,Creb1,Il6,1,1,0,1,1,0,SPIKE;SPIKE_LC,SPIKE:21084670;SPIKE_LC:21084670,2,1,1
G3V970,D4A585,Six1,Hmx3,1,1,1,1,1,1,SPIKE;SPIKE_LC,SPIKE:12874121;SPIKE:14695375;SPIKE_LC:12874121;SPIKE_LC:14695375,4,2,1
G3V970,P50575,Six1,Dlx5,1,0,1,1,0,1,SPIKE;SPIKE_LC,SPIKE:14695375;SPIKE_LC:14695375,2,1,1
G3V970,Q63410,Six1,Otx1,1,1,0,1,1,0,SPIKE;SPIKE_LC,SPIKE:14695375;SPIKE_LC:14695375,2,1,1
P15337,P30904,Creb1,Mif,1,1,0,1,1,0,SPIKE;SPIKE_LC,SPIKE:21084670;SPIKE_LC:21084670,2,1,1
G3V970,F1M0Y6,Six1,Dach1,1,1,1,1,1,1,HPRD;SPIKE;SPIKE_LC,HPRD:14628042;SPIKE:14695375;SPIKE:17035528;SPIKE_LC:14695375;SPIKE_LC:17035528,5,3,2
P15337,P16599,Creb1,Tnf,1,1,0,1,1,0,SPIKE;SPIKE_LC,SPIKE:21084670;SPIKE_LC:21084670,2,1,1
P15337,P35355,Creb1,Ptgs2,1,1,0,1,1,0,SPIKE;SPIKE_LC,SPIKE:21084670;SPIKE_LC:21084670,2,1,1
O88808,P63086,Tub,Mapk1,1,1,0,1,1,0,SPIKE;SPIKE_LC,SPIKE:19114066;SPIKE_LC:19114066,2,1,1
O88808,P21708,Tub,Mapk3,1,1,0,1,1,0,SPIKE;SPIKE_LC,SPIKE:19114066;SPIKE_LC:19114066,2,1,1
D3ZU00,Q07120,Prox1,Gfi1,1,0,1,1,0,1,SPIKE;SPIKE_LC,SPIKE:18652815;SPIKE_LC:18652815,2,1,1
D3ZU00,D3ZQL9,Prox1,Atoh1,1,0,1,1,0,1,SPIKE;SPIKE_LC,SPIKE:18652815;SPIKE_LC:18652815,2,1,1
Q99NH5,P70492,Gata3,Fgf10,1,1,0,1,1,0,SPIKE;SPIKE_LC,SPIKE:16806848;SPIKE_LC:16806848,2,1,1
D3ZGB1,P07943,Nfat5,Akr1b1,1,1,0,1,1,0,SPIKE;SPIKE_LC,SPIKE:15522988;SPIKE:18056707;SPIKE_LC:15522988;SPIKE_LC:18056707,4,2,1
Q63248,P51974,Foxi2,Pax8,1,1,0,1,1,0,SPIKE;SPIKE_LC,SPIKE:12702667;SPIKE_LC:12702667,2,1,1
Q8R5L9,Q63248,Fgf3,Foxi2,1,1,0,1,1,0,SPIKE;SPIKE_LC,SPIKE:12702667;SPIKE_LC:12702667,2,1,1
P15337,D3ZW33,Creb1,Bach2,1,1,0,1,1,0,SPIKE;SPIKE_LC,SPIKE:20864035;SPIKE_LC:20864035,2,1,1
D3ZGB1,P48056,Nfat5,Slc6a12,1,1,0,1,1,0,SPIKE;SPIKE_LC,SPIKE:15522988;SPIKE_LC:15522988,2,1,1
Q63787,P47196,Pik3r1,Akt1,1,1,0,1,1,0,HPRD;NetPath;SPIKE;SPIKE_LC;Wang,HPRD:10527852;NetPath:16799564;SPIKE:19442713;SPIKE_LC:19442713,4,3,4
F1LSH0,Q5BJQ6,Sympk,Cstf1,1,1,0,1,1,0,SPIKE;SPIKE_LC,SPIKE:10669729;SPIKE_LC:10669729,2,1,1
