source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,sources,references,curation_effort,n_references,n_resources
P39951,D3ZGJ9,Cdk1,Depdc1,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper,PhosphoSite:28602627,1,1,2
P42346,O70248,Mtor,Apba3,1,0,0,0,0,0,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper,PhosphoSite:24164895,1,1,3
O08679,Q99P99,Mark2,Hdac4,1,0,0,0,0,0,HPRD_MIMP;MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;phosphoELM_MIMP,PhosphoSite:10869435;PhosphoSite:10958686;PhosphoSite:24140020;PhosphoSite:24904057;PhosphoSite:28319066;PhosphoSite:29472387,6,6,3
E9PT20,Q80T18,Abl1,Gmfg,1,0,0,0,0,0,PhosphoSite;ProtMapper;REACH_ProtMapper,PhosphoSite:24818551;PhosphoSite:30811945;ProtMapper:18138835;ProtMapper:28390425,4,4,2
P18266,G3V7T4,Gsk3b,Mycl,1,0,0,0,0,0,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper,PhosphoSite:1312697,1,1,3
D4A8S5,B0K014,Cdc7,Dtd1,1,0,0,0,0,0,PhosphoSite;PhosphoSite_noref,PhosphoSite:25258324,1,1,1
Q9WUD9,Q6P6W3,Src,Hdac3,1,0,0,0,0,0,BioGRID;PhosphoSite;PhosphoSite_noref;ProtMapper;REACH_ProtMapper,BioGRID:17699109;PhosphoSite:30317579;PhosphoSite:31430896;ProtMapper:30317579,4,3,3
P63086,Q6AY35,Mapk1,Snai1,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper,PhosphoSite:23644467;PhosphoSite:28892081,2,2,2
P63086,A0A8J8YBT6,Mapk1,Snai1,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper,PhosphoSite:23644467;PhosphoSite:28892081,2,2,2
P09217,P51400,Prkcz,Adarb1,1,0,0,0,0,0,PhosphoSite;PhosphoSite_noref,PhosphoSite:29694894,1,1,1
P18266,F7F0L0,Gsk3b,Ctps1,1,0,0,0,0,0,PhosphoSite,PhosphoSite:17681942,1,1,1
P18266,B1WC02,Gsk3b,Ctps1,1,0,0,0,0,0,PhosphoSite,PhosphoSite:17681942,1,1,1
B5DF62,O08954,Pak4,Snai2,1,0,0,0,0,0,PhosphoSite;PhosphoSite_noref;ProtMapper;RLIMS-P_ProtMapper,PhosphoSite:28288135;PhosphoSite:29849120;ProtMapper:29849120,3,2,2
P18266,P49952,Gsk3b,Wt1,1,0,0,0,0,0,PhosphoSite;PhosphoSite_noref,PhosphoSite:29040381,1,1,1
P47196,Q01714,Akt1,Sp1,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper,PhosphoSite:22718198,1,1,2
D4A280,P43429,Pak5,Gata1,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;RLIMS-P_ProtMapper,PhosphoSite:25726523;ProtMapper:25726523,2,1,2
P47196,Q00939,Akt1,Foxg1,1,0,0,0,0,0,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;iPTMnet,PhosphoSite:17435750;iPTMnet:21228151,2,2,4
